,Frame,Position,Membrane signal,Cytoplasmic signal
0,0,0,4915.00933162886,2652.4744926930894
1,0,1,4892.083680851693,2652.4744926930894
2,0,2,4902.178767444949,2652.4744926930894
3,0,3,4715.088058722982,2652.4744926930894
4,0,4,4909.6365912372885,2652.4744926930894
5,0,5,4997.529024172531,2652.4744926930894
6,0,6,4796.0758123651385,2652.4744926930894
7,0,7,5192.482052929901,2652.4744926930894
8,0,8,5448.630088153538,2652.4744926930894
9,0,9,5696.061368843446,2652.4744926930894
10,0,10,5735.669616407285,2652.4744926930894
11,0,11,5915.5622525218705,2652.4744926930894
12,0,12,6094.946184875673,2652.4744926930894
13,0,13,5804.017924143633,2652.4744926930894
14,0,14,5926.594937745652,2652.4744926930894
15,0,15,5654.235190785069,2652.4744926930894
16,0,16,5813.053701138118,2652.4744926930894
17,0,17,5634.074747062328,2652.4744926930894
18,0,18,5984.640057652134,2652.4744926930894
19,0,19,5785.949661289071,2652.4744926930894
20,0,20,5910.788330282093,2652.4744926930894
21,0,21,5948.289287750786,2652.4744926930894
22,0,22,5610.132930446782,2652.4744926930894
23,0,23,5840.15273235794,2652.4744926930894
24,0,24,5946.841700598249,2652.4744926930894
25,0,25,6050.543507844096,2652.4744926930894
26,0,26,5995.339500308049,2652.4744926930894
27,0,27,5872.297195957855,2652.4744926930894
28,0,28,5779.520466003629,2652.4744926930894
29,0,29,6095.140708957083,2652.4744926930894
30,0,30,5647.901167804875,2652.4744926930894
31,0,31,6022.142801544804,2652.4744926930894
32,0,32,5953.532533398773,2652.4744926930894
33,0,33,6054.312773620819,2652.4744926930894
34,0,34,5935.359280023559,2652.4744926930894
35,0,35,5900.6619412560885,2652.4744926930894
36,0,36,5975.74890432903,2652.4744926930894
37,0,37,5776.271710404141,2652.4744926930894
38,0,38,5911.6288389895635,2652.4744926930894
39,0,39,6514.558440706278,2652.4744926930894
40,0,40,6080.918009257455,2652.4744926930894
41,0,41,6496.824138298232,2652.4744926930894
42,0,42,6155.013759952906,2652.4744926930894
43,0,43,6692.763074391663,2652.4744926930894
44,0,44,6199.649164469435,2652.4744926930894
45,0,45,6797.18043922757,2652.4744926930894
46,0,46,6851.5927466282365,2652.4744926930894
47,0,47,6263.2732949049305,2652.4744926930894
48,0,48,6685.796121107489,2652.4744926930894
49,0,49,6554.981482011521,2652.4744926930894
50,0,50,6409.4887262185175,2652.4744926930894
51,0,51,6414.267672857058,2652.4744926930894
52,0,52,6157.448308869576,2652.4744926930894
53,0,53,6395.660623117665,2652.4744926930894
54,0,54,7472.720996330663,2652.4744926930894
55,0,55,7592.357192815176,2652.4744926930894
56,0,56,8782.867609144709,2652.4744926930894
57,0,57,11324.554044542812,2652.4744926930894
58,0,58,11237.834601177768,2652.4744926930894
59,0,59,9868.838053465734,2652.4744926930894
60,0,60,10219.243464305979,2652.4744926930894
61,0,61,8944.138074927549,2652.4744926930894
62,0,62,7522.535268212336,2652.4744926930894
63,0,63,7410.320620698403,2652.4744926930894
64,0,64,7397.172286877686,2652.4744926930894
65,0,65,7507.1395043297525,2652.4744926930894
66,0,66,7113.097004183673,2652.4744926930894
67,0,67,7288.671525894465,2652.4744926930894
68,0,68,7312.382495415886,2652.4744926930894
69,0,69,7184.14198677459,2652.4744926930894
70,0,70,7330.112263113543,2652.4744926930894
71,0,71,7059.305318095777,2652.4744926930894
72,0,72,7230.917205577169,2652.4744926930894
73,0,73,7084.480335766384,2652.4744926930894
