,ID,Line,Condition,Path,Cyt,Mem_tot,Mem_ant,Mem_post,Dosage_af,Dosage_sub,Genotype
23,23,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/04",2587.200286091837,8077.197037907853,7240.466657618532,9847.99073845121,4346.684303385823,5332.18148896805,"Wild type, par-3 -/-"
24,24,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/05",2116.6987973124815,7147.856568087183,6834.777152372672,7624.432585795601,3759.57421923051,4607.93555520506,"Wild type, par-3 -/-"
25,25,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/06",2316.7612825148844,6670.570230050577,7009.144965130892,7175.323936458878,3807.9437581039665,4548.2684910870175,"Wild type, par-3 -/-"
26,26,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/07",2415.6038598103346,7304.465351139078,6511.57468941034,8046.3692746163715,4035.399932574579,4215.133246278212,"Wild type, par-3 -/-"
27,27,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/08",1683.7474753645324,5066.254958627487,4145.869029730705,5810.8548393693945,2817.0453659722143,3236.719994165637,"Wild type, par-3 -/-"
28,28,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/09",2082.297085855948,5610.959406407559,5002.689616331133,6227.794905079845,3308.969825184675,3730.9976618441788,"Wild type, par-3 -/-"
29,29,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/10",1510.5239960548402,2992.5437656799804,2160.052176504279,3740.165777770965,2113.5270912169353,2138.839208838752,"Wild type, par-3 -/-"
30,30,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/11",1548.8485318647563,3361.160976753603,2808.6379911640743,3767.254620145952,2247.912251019858,2564.2720048559504,"Wild type, par-3 -/-"
31,31,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/12",1867.7556898749162,4794.646336558882,4106.292545280612,5532.941031374699,2877.498491855603,3270.750172809713,"Wild type, par-3 -/-"
32,32,nwg201,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/13",1204.1334763236157,2353.3925040946206,1914.03138991059,3045.4427147523875,1675.8101933933308,1341.9107247035863,"Wild type, par-3 -/-"
33,33,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_wt_tom4,15,60/00",3970.03992763046,10940.612679179341,9804.156593464691,13648.388912510376,6373.368123631416,9115.118480137273,"Wild type, par-3 -/-"
34,34,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_wt_tom4,15,60/01",2795.1448338124846,11764.509531032854,9595.34886907398,13977.91311888665,5617.6740476670975,7388.843346586955,"Wild type, par-3 -/-"
35,35,nwg369,11161900par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11161900par2_tom4,15,60/00",2000.694477117208,2734.8291872621417,2575.2819590980516,2648.5499637334906,2497.021272869662,3051.1662469136973,"L109R, par-3 -/-"
36,36,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/00",2415.6187420030637,4667.432517829509,4825.454389466086,4477.195480752467,3382.781656715688,4382.082243946585,"L109R, par-3 -/-"
37,37,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/01",2772.676290420809,4493.518837346817,4248.5314025205425,4263.5757190665945,3641.655251372311,4359.920403578613,"L109R, par-3 -/-"
38,38,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/02",2630.7907618551967,3943.5201164576474,3520.003431056851,4621.797245955837,3324.387724425701,4301.9409235285875,"L109R, par-3 -/-"
39,39,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/03",2878.4434318625676,4346.659242356469,3815.9844464843854,4733.871143818406,3718.516864119314,4963.6975717477635,"L109R, par-3 -/-"
40,40,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/04",2976.4072724972984,4437.561290532979,4046.7211427700654,4888.923005886549,3774.9723532135504,4394.968542050909,"L109R, par-3 -/-"
41,41,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/05",1468.069467896806,1994.293920998361,2088.557117301604,2008.4387644887593,1791.0661199176461,2379.2357738118035,"L109R, par-3 -/-"
42,42,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/06",2629.0730336292395,4124.688479677376,4068.021161217799,4178.47219126165,3422.759427662865,4046.2014125034148,"L109R, par-3 -/-"
43,43,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/07",1738.8123793982913,2525.1182023915835,2482.7891028555823,2408.568874354747,2189.2298652534987,2969.527674804556,"L109R, par-3 -/-"
44,44,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/08",1563.1187008462198,1987.68537518095,1779.3470160300344,2063.780021584982,1897.1082523723674,2177.4913433796173,"L109R, par-3 -/-"
45,45,nwg369,11170730par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/09",2128.8857230878634,3260.178064011349,3396.10227195967,3215.4419350709227,2740.946481050843,3103.1269281847417,"L109R, par-3 -/-"
