,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
91,91,n2,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/05",135.9584128375231,68.20219760466027,51.32506089025007,-135.3807528037987,N2
92,92,n2,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/06",-17.819803676624268,255.3819338348748,46.87521198054001,-579.5737916064331,N2
93,93,n2,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/07",31.788025032855206,-94.57052067568905,-49.83963046760388,-174.32038698117822,N2
94,94,n2,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/08",64.16769122982387,180.53200334139652,23.166836983510095,-261.8280206811128,N2
95,95,n2,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/00",-64.43744248961772,150.3772021143755,-73.397414388972,492.78730391156387,N2
96,96,n2,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/10",-96.45142497688354,276.56869300280863,-23.393533331584006,130.99604559316958,N2
97,97,n2,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/11",16.37724979981402,-291.25878875004224,-134.33694354744958,184.12082411131632,N2
98,98,n2,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/12",19.470937807716943,-122.2966722751689,-18.78640369566001,564.1150367185437,N2
99,99,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg325_tom4,15,60/00/",3014.922700031531,21188.28142820886,4913.80382569968,6262.577353267679,Wild type
100,100,nwg325,"tom4,15,60","/Users/blandt/Desktop/RING lines/Experiment/211106_nwg325_tom4,15,60/01/",3432.1099862911956,22460.78322723625,5320.842091191642,6812.609072036868,Wild type
