,Frame,Position,Membrane signal,Cytoplasmic signal
0,0,0,412.5709002393099,381.44924780250085
1,0,1,412.5709002393099,381.44924780250085
2,0,2,412.5709002393099,381.44924780250085
3,0,3,412.5709002393099,381.44924780250085
4,0,4,412.5709002393099,381.44924780250085
5,0,5,412.5709002393099,381.44924780250085
6,0,6,412.5709002393099,381.44924780250085
7,0,7,412.5709002393099,381.44924780250085
8,0,8,412.5709002393099,381.44924780250085
9,0,9,412.5709002393099,381.44924780250085
10,0,10,412.5709002393099,381.44924780250085
11,0,11,412.5709002393099,381.44924780250085
12,0,12,412.5709002393099,381.44924780250085
13,0,13,412.5709002393099,381.44924780250085
14,0,14,412.5709002393099,381.44924780250085
15,0,15,412.5709002393099,381.44924780250085
16,0,16,412.5709002393099,381.44924780250085
17,0,17,412.5709002393099,381.44924780250085
18,0,18,412.5709002393099,381.44924780250085
19,0,19,412.5709002393099,381.44924780250085
20,0,20,412.5709002393099,381.44924780250085
21,0,21,412.5709002393099,381.44924780250085
22,0,22,412.5709002393099,381.44924780250085
23,0,23,412.5709002393099,381.44924780250085
24,0,24,412.5709002393099,381.44924780250085
25,0,25,412.5709002393099,381.44924780250085
26,0,26,412.5709002393099,381.44924780250085
27,0,27,412.5709002393099,381.44924780250085
28,0,28,412.5709002393099,381.44924780250085
29,0,29,412.5709002393099,381.44924780250085
30,0,30,412.5709002393099,381.44924780250085
31,0,31,412.5709002393099,381.44924780250085
32,0,32,412.5709002393099,381.44924780250085
33,0,33,412.5709002393099,381.44924780250085
34,0,34,412.5709002393099,381.44924780250085
35,0,35,412.5709002393099,381.44924780250085
36,0,36,412.5709002393099,381.44924780250085
37,0,37,412.5709002393099,381.44924780250085
38,0,38,412.5709002393099,381.44924780250085
39,0,39,412.5709002393099,381.44924780250085
40,0,40,412.5709002393099,381.44924780250085
41,0,41,412.5709002393099,381.44924780250085
42,0,42,412.5709002393099,381.44924780250085
43,0,43,412.5709002393099,381.44924780250085
44,0,44,412.5709002393099,381.44924780250085
45,0,45,412.5709002393099,381.44924780250085
46,0,46,412.5709002393099,381.44924780250085
47,0,47,412.5709002393099,381.44924780250085
48,0,48,412.5709002393099,381.44924780250085
49,0,49,412.5709002393099,381.44924780250085
50,0,50,412.5709002393099,381.44924780250085
51,0,51,412.5709002393099,381.44924780250085
52,0,52,412.5709002393099,381.44924780250085
53,0,53,412.5709002393099,381.44924780250085
54,0,54,412.5709002393099,381.44924780250085
55,0,55,412.5709002393099,381.44924780250085
56,0,56,412.5709002393099,381.44924780250085
57,0,57,412.5709002393099,381.44924780250085
58,0,58,412.5709002393099,381.44924780250085
59,0,59,412.5709002393099,381.44924780250085
60,0,60,412.5709002393099,381.44924780250085
