time (min),differential refractive index data: differential refractive index  (RIU),Molar Mass  for Peak 1 : Molar Mass  (g/mol)
-1.661492586135864,1.95446696436514e-007, 
-1.645475919469198,2.117041751544442e-007, 
-1.629625919469198,2.194617124970883e-007, 
-1.613925919469198,2.157008273118674e-007, 
-1.598075919469198,2.119419575823945e-007, 
-1.582392586135864,2.050831000029757e-007, 
-1.564359252802531,2.028335663255012e-007, 
-1.550842586135864,1.951352725358018e-007, 
-1.535159252802531,1.876834808622017e-007, 
-1.519292586135864,1.935306879048175e-007, 
-1.503442586135864,1.978807974665567e-007, 
-1.487759252802531,1.995362241523978e-007, 
-1.471225919469198,2.012030717541284e-007, 
-1.456209252802531,2.067939303286531e-007, 
-1.440175919469198,2.078078967119827e-007, 
-1.424492586135864,2.078988650018768e-007, 
-1.408809252802531,2.079898332917709e-007, 
-1.392942586135864,2.069998805793624e-007, 
-1.377259252802531,2.042734480583387e-007, 
-1.361242586135864,2.037413810598873e-007, 
-1.345709252802531,2.000254222443926e-007, 
-1.329859252802531,1.926083409815264e-007, 
-1.313825919469198,1.924009239329595e-007, 
-1.298309252802531,1.919788226798698e-007, 
-1.282292586135864,1.915634396125954e-007, 
-1.266759252802531,1.890177112886034e-007, 
-1.250742586135864,1.86375113874788e-007, 
-1.235225919469198,1.908007607955013e-007, 
-1.219192586135864,1.895895052738714e-007, 
-1.203342586135864,1.88375786417438e-007, 
-1.187659252802531,1.847132800369332e-007, 
-1.171792586135864,1.85467492863952e-007, 
-1.156109252802531,1.845830554963435e-007, 
-1.140425919469198,1.836986181287349e-007, 
-1.124392586135864,1.81311803086931e-007, 
-1.108875919469198,1.828442712659247e-007, 
-1.093009252802531,1.88215444788646e-007, 
-1.077325919469198,1.869611422721127e-007, 
-1.061475919469198,1.857090791508534e-007, 
-1.045442586135864,1.828861565163027e-007, 
-1.029925919469198,1.832845440447304e-007, 
-1.013909252802531,1.862391552016725e-007, 
-0.9983759194691976,1.876847879088629e-007, 
-0.982359252802531,1.878237785202821e-007, 
-0.966509252802531,1.87960529736424e-007, 
-0.9508092528025309,1.977353133060952e-007, 
-0.9349592528025309,1.974604968878837e-007, 
-0.919259252802531,1.971836650139243e-007, 
-0.9035759194691976,1.950467407597585e-007, 
-0.8875592528025309,1.955801027944961e-007, 
-0.871859252802531,1.976100111377822e-007, 
-0.8560092528025309,1.976336976975454e-007, 
-0.8403259194691976,1.976551448620379e-007, 
-0.8244592528025309,1.976164511049161e-007, 
-0.8087759194691977,2.005781864182154e-007, 
-0.7929259194691977,2.020458178552733e-007, 
-0.7770592528025309,2.012524342406693e-007, 
-0.7613759194691976,2.004565872912652e-007, 
-0.7456759194691977,2.012639722256532e-007, 
-0.729659252802531,2.014304951184318e-007, 
-0.7139759194691976,2.015925392206623e-007, 
-0.6982759194691977,1.986691318991918e-007, 
-0.6825925861358643,2.007006095221675e-007, 
-0.6665759194691976,2.017126135952355e-007, 
-0.6508759194691975,2.013877650000346e-007, 
-0.6351925861358643,2.010626924653077e-007, 
-0.6193425861358641,1.982031260870231e-007, 
-0.6036425861358643,1.992529512256081e-007, 
-0.5876259194691975,1.991517212165019e-007, 
-0.5719259194691977,1.99046236356377e-007, 
-0.5562425861358642,1.972217639877563e-007, 
-0.5402259194691976,2.023184753441757e-007, 
-0.5246925861358642,2.042345458698443e-007, 
-0.5086759194691977,2.045097807243612e-007, 
-0.4928259194691975,2.045406870367013e-007, 
-0.4771259194691977,2.045695778932934e-007, 
-0.4614425861358642,2.05693825524617e-007, 
-0.4457592528025309,2.056907247091413e-007, 
-0.4298925861358642,2.056900872284657e-007, 
-0.4138759194691977,2.018962701048084e-007, 
-0.3981759194691974,2.058762780186311e-007, 
-0.3824925861358643,2.063348156344131e-007, 
-0.3668092528025311,2.061162520162814e-007, 
-0.3509425861358644,2.059001517329497e-007, 
-0.3349259194691976,2.063423981404913e-007, 
-0.3194092528025307,2.087864216216462e-007, 
-0.3033759194691976,2.090075230010727e-007, 
-0.2876925861358644,2.083444403775688e-007, 
-0.2718425861358642,2.076835971493356e-007, 
-0.2559759194691975,2.094022883025516e-007, 
-0.2402925861358642,2.102566725908316e-007, 
-0.224609252802531,2.08983996289166e-007, 
-0.2089092528025309,2.077115439270265e-007, 
-0.1928925861358644,2.113028480193252e-007, 
-0.1771925861358641,2.102189428402605e-007, 
-0.1613425861358642,2.091370531169404e-007, 
-0.1456592528025309,2.060709696778522e-007, 
-0.1297925861358642,2.063045770329445e-007, 
-0.1141092528025309,2.112972173164815e-007, 
-0.09809258613586414,2.11243605395884e-007, 
-0.08255925280253096,2.111834992289972e-007, 
-0.06654258613586417,2.094360368641616e-007, 
-0.05102591946919755,2.130240084824879e-007, 
-0.0349925861358642,2.132115308137353e-007, 
-0.01914258613586428,2.133965898101791e-007, 
-0.003442586135864234,2.113671775090855e-007, 
0.01224074719746926,2.109913719953428e-007, 
0.02792408053080231,2.130730253343277e-007, 
0.043790747197469,2.136934913447733e-007, 
0.05980741386413579,2.103632312485185e-007, 
0.07549074719746907,2.070284923617122e-007, 
0.09119074719746911,2.111829206963531e-007, 
0.107040747197469,2.13355499611407e-007, 
0.1227240805308023,2.139049174144623e-007, 
0.138590747197469,2.135897054603287e-007, 
0.1542740805308023,2.132720301713951e-007, 
0.1703074138641358,2.1219061097917e-007, 
0.1858240805308025,2.111022496615967e-007, 
0.201840747197469,2.087159648447927e-007, 
0.2175407471974691,2.086062911947279e-007, 
0.2332240805308026,2.1007961219522e-007, 
0.2492407471974691,2.107220510838436e-007, 
0.264940747197469,2.096860236130906e-007, 
0.2807907471974691,2.086520115980788e-007, 
0.2964740805308024,2.108349653079366e-007, 
0.3125074138641357,2.137581418167643e-007, 
0.3280240805308023,2.145751840938608e-007, 
0.3438907471974688,2.126567984097817e-007, 
0.3595740805308023,2.107359493909025e-007, 
0.3754240805308027,2.111836045500429e-007, 
0.3912907471974689,2.11316160987068e-007, 
0.4069740805308024,2.11446254089293e-007, 
0.4226574138641359,2.09527503144407e-007, 
0.438690747197469,2.128440750419788e-007, 
0.4542074138641357,2.135643382369346e-007, 
0.4702240805308025,2.136193139499051e-007, 
0.4859240805308023,2.13670034811857e-007, 
0.5016074138641358,2.139175852448361e-007, 
0.5176407471974689,2.147033492315161e-007, 
0.5333240805308024,2.15090061600156e-007, 
0.5490074138641359,2.133158059409068e-007, 
0.5650407471974694,2.115462530117318e-007, 
0.580724080530802,2.122782419427077e-007, 
0.5964074138641355,2.125565425357005e-007, 
0.6122740805308022,2.116094692677532e-007, 
0.6279574138641357,2.106599326650059e-007, 
0.6439740805308025,2.104087813808524e-007, 
0.6595074138641355,2.115178068990891e-007, 
0.6753574138641358,2.11923939385888e-007, 
0.6910407471974689,2.12327832477413e-007, 
0.7070740805308025,2.138038811168782e-007, 
0.7229240805308024,2.192011337813144e-007, 
0.7386240805308026,2.186179382472197e-007, 
0.7544740805308026,2.18036758168873e-007, 
0.7701574138641356,2.165588800639583e-007, 
0.7858574138641359,2.165595309620017e-007, 
0.8018740805308022,2.166631289763614e-007, 
0.8173907471974693,2.167600088049023e-007, 
0.8334240805308024,2.143563004339184e-007, 
0.848940747197469,2.131965510459768e-007, 
0.864790747197469,2.162881772168673e-007, 
0.8806574138641357,2.152715332196427e-007, 
0.8963407471974692,2.142524258876146e-007, 
0.9123740805308023,2.115737049557294e-007, 
0.9280574138641358,2.137240490890897e-007, 
0.9437407471974688,2.144039448187852e-007, 
0.9597740805308024,2.142943354644537e-007, 
0.9754574138641359,2.141800233800515e-007, 
0.9913074138641358,2.140444721089974e-007, 
1.007007413864136,2.129724608595673e-007, 
1.022690747197469,2.119002256706111e-007, 
1.038707413864136,2.089361458865538e-007, 
1.054407413864136,2.066504580776972e-007, 
1.070090747197469,2.127888314408253e-007, 
1.085957413864136,2.132265257580914e-007, 
1.101640747197469,2.126605366421921e-007, 
1.117490747197469,2.120967869215668e-007, 
1.133190747197469,2.1001109494684e-007, 
1.149040747197469,2.094624191860868e-007, 
1.164724080530803,2.089115040300629e-007, 
1.180590747197469,2.060844730178423e-007, 
1.196607413864136,2.041860833879666e-007, 
1.212124080530802,2.074393276376404e-007, 
1.228157413864136,2.088482093590279e-007, 
1.243840747197469,2.085930071502973e-007, 
1.259707413864136,2.083402682763667e-007, 
1.275390747197469,2.103926619963218e-007, 
1.291240747197469,2.12070976400549e-007, 
1.306940747197469,2.11937332871668e-007, 
1.322624080530802,2.11803465403261e-007, 
1.338640747197469,2.102646146685657e-007, 
1.354340747197469,2.13447259613334e-007, 
1.370024080530802,2.131345273777455e-007, 
1.385874080530803,2.12824034537431e-007, 
1.401574080530802,2.116110952214753e-007, 
1.417424080530803,2.103119245811552e-007, 
1.433624080530803,2.100932534897281e-007, 
1.448974080530802,2.098631614824047e-007, 
1.464990747197469,2.026090422722143e-007, 
1.480690747197469,2.032295615907428e-007, 
1.496374080530802,2.054922075664077e-007, 
1.512390747197469,2.055143199079574e-007, 
1.528090747197469,2.055321773984885e-007, 
1.543774080530803,2.051364713035629e-007, 
1.559624080530802,2.08703176091521e-007, 
1.575490747197469,2.080172619750613e-007, 
1.591174080530803,2.073288845238017e-007, 
1.607040747197469,2.043456932571486e-007, 
1.622890747197469,2.060699086670284e-007, 
1.638574080530802,2.079649519075492e-007, 
1.654440747197469,2.086350465835382e-007, 
1.670290747197469,2.076007754764081e-007, 
1.685974080530803,2.065642649740072e-007, 
1.701674080530802,2.093644119306315e-007, 
1.717357413864136,2.086312454587892e-007, 
1.733374080530802,2.079025577774916e-007, 
1.749074080530802,2.052304523493817e-007, 
1.764757413864136,2.039068360509174e-007, 
1.780774080530803,2.034282557315274e-007, 
1.796307413864136,2.029431811658415e-007, 
1.812324080530802,2.011009266923849e-007, 
1.828190747197469,1.989654689471334e-007, 
1.843874080530803,2.003564370531531e-007, 
1.859890747197469,1.994952239437274e-007, 
1.875424080530803,1.986275165880056e-007, 
1.891274080530802,1.966071059398675e-007, 
1.906957413864136,1.972836805952447e-007, 
1.922824080530802,1.979664306447276e-007, 
1.938507413864136,1.970549439011388e-007, 
1.954357413864136,1.961456965528274e-007, 
1.970057413864136,1.980864875688771e-007, 
1.985907413864136,1.972191502873456e-007, 
2.001607413864136,1.96349797550066e-007, 
2.017624080530803,1.933955076974609e-007, 
2.033307413864136,1.890517274484738e-007, 
2.049007413864136,1.910278600787074e-007, 
2.064857413864135,1.917603681364983e-007, 
2.080540747197469,1.905895633243754e-007, 
2.096407413864136,1.894212218470525e-007, 
2.112090747197469,1.909500181030103e-007, 
2.127940747197469,1.924412022575702e-007, 
2.143807413864136,1.923811692339402e-007, 
2.159657413864136,1.92320912270784e-007, 
2.175357413864136,1.885823451884411e-007, 
2.191040747197469,1.928422754092163e-007, 
2.207057413864136,1.917160616496742e-007, 
2.222757413864136,1.905855930391135e-007, 
2.238440747197469,1.879489041954265e-007, 
2.254457413864136,1.898691973313801e-007, 
2.270157413864136,1.918644220163771e-007, 
2.285840747197469,1.910937786060951e-007, 
2.301690747197469,1.903253745910906e-007, 
2.317390747197469,1.875026370286073e-007, 
2.333407413864136,1.89197518470046e-007, 
2.348940747197469,1.892211099238216e-007, 
2.364790747197469,1.892489562286192e-007, 
2.380474080530802,1.869486491116555e-007, 
2.396507413864136,1.896872633413951e-007, 
2.412190747197469,1.907846543043537e-007, 
2.428040747197469,1.907845933369551e-007, 
2.443740747197469,1.907825169138084e-007, 
2.459590747197469,1.898248596466249e-007, 
2.475274080530802,1.893437880078554e-007, 
2.491307413864136,1.888674190991601e-007, 
2.506990747197469,1.864347901867519e-007, 
2.522690747197469,1.830895865660045e-007, 
2.538374080530803,1.86543220311013e-007, 
2.554390747197469,1.876099894129644e-007, 
2.570257413864136,1.874855077892318e-007, 
2.585940747197469,1.873585628306991e-007, 
2.601624080530803,1.899187903378292e-007, 
2.617324080530803,1.897424771585831e-007, 
2.633340747197469,1.895704188303556e-007, 
2.649024080530802,1.873132033118272e-007, 
2.664724080530802,1.86958799519361e-007, 
2.680740747197469,1.910488854226522e-007, 
2.696257413864135,1.925239978348085e-007, 
2.71229074719747,1.927539322420738e-007, 
2.728140747197469,1.929301434412432e-007, 
2.743840747197469,1.931043391846647e-007, 
2.759690747197469,1.943229755259168e-007, 
2.775374080530802,1.944906510217193e-007, 
2.791240747197469,1.946607898523218e-007, 
2.806924080530803,1.9225182754808e-007, 
2.822607413864136,1.948742275341807e-007, 
2.838474080530802,1.947124322986124e-007, 
2.854157413864136,1.945481737282439e-007, 
2.870007413864135,1.937588236413225e-007, 
2.886040747197469,1.950908391854413e-007, 
2.900390747197469,1.953217899434505e-007, 
2.911407413864136,1.926221922594357e-007, 
