time (min),differential refractive index data: differential refractive index  (RIU),Molar Mass  for Peak 1 : Molar Mass  (g/mol)
-1.661492586135864,-1.257577933095442e-007, 
-1.645642586135864,-1.266360167696209e-007, 
-1.629942586135864,-1.226404051853429e-007, 
-1.614092586135864,-1.233983512783638e-007, 
-1.598242586135864,-1.241562973713814e-007, 
-1.582375919469198,-1.268094153558853e-007, 
-1.565192586135864,-1.228783966094878e-007, 
-1.551009252802531,-1.16862265913317e-007, 
-1.535142586135864,-1.1430647730335e-007, 
-1.519125919469198,-1.147818008208852e-007, 
-1.503592586135864,-1.152576813469681e-007, 
-1.487575919469198,-1.140423270533199e-007, 
-1.472059252802531,-1.138954029976277e-007, 
-1.456192586135864,-1.162579034078552e-007, 
-1.440175919469198,-1.186202309533592e-007, 
-1.424325919469198,-1.149891814965665e-007, 
-1.408625919469198,-1.129544970872664e-007, 
-1.392942586135864,-1.124138497741607e-007, 
-1.377092586135864,-1.118730103891446e-007, 
-1.361392586135864,-1.109516837304554e-007, 
-1.345709252802531,-1.070355531654981e-007, 
-1.329842586135864,-1.080111868752478e-007, 
-1.313992586135864,-1.089868397921913e-007, 
-1.298309252802531,-1.111822718044302e-007, 
-1.282275919469198,-1.089116331054472e-007, 
-1.266592586135864,-1.098487885312495e-007, 
-1.250909252802531,-1.107859439570483e-007, 
-1.235209252802531,-1.129604342939118e-007, 
-1.219025919469198,-1.092852465402165e-007, 
-1.203509252802531,-1.067793422290354e-007, 
-1.187809252802531,-1.059142544768901e-007, 
-1.171792586135864,-1.067284788701039e-007, 
-1.156092586135864,-1.075430681999483e-007, 
-1.140242586135864,-1.039212599117532e-007, 
-1.124559252802531,-1.024605557250776e-007, 
-1.108525919469198,-1.028300793620308e-007, 
-1.092842586135864,-1.032000063499986e-007, 
-1.077159252802531,-1.061786002135796e-007, 
-1.061459252802531,-1.051581692608917e-007, 
-1.045442586135864,-1.048011072576735e-007, 
-1.029759252802531,-1.044444293982795e-007, 
-1.014059252802531,-1.036877893060576e-007, 
-0.9982092528025309,-1.009965055385807e-007, 
-0.982509252802531,-9.972543626285933e-008, 
-0.966659252802531,-1.005256625542114e-007, 
-0.9509759194691976,-1.013260809174738e-007, 
-0.935109252802531,-9.902203846289581e-008, 
-0.919259252802531,-9.485740703930138e-008, 
-0.9035759194691976,-9.53362929602911e-008, 
-0.8877092528025309,-9.581496760217666e-008, 
-0.8720259194691976,-9.68069948934938e-008, 
-0.8560092528025309,-9.33867323941731e-008, 
-0.8403092528025309,-9.25256758542408e-008, 
-0.8246259194691975,-9.285881453044876e-008, 
-0.8085925861358643,-9.319154985563537e-008, 
-0.7929092528025309,-9.316797491919877e-008, 
-0.7772259194691976,-9.059180856371352e-008, 
-0.7613592528025309,-9.059561307019754e-008, 
-0.7453425861358642,-9.059924471196151e-008, 
-0.729659252802531,-9.062479833958905e-008, 
-0.713959252802531,-8.882323149720579e-008, 
-0.698109252802531,-8.8961819801643e-008, 
-0.6824259194691976,-8.9100600177994e-008, 
-0.6667259194691976,-8.896193326014097e-008, 
-0.6507092528025309,-8.466174201290257e-008, 
-0.6351925861358643,-8.475107235325169e-008, 
-0.6191592528025309,-8.483980727067245e-008, 
-0.6036425861358643,-8.576995817762256e-008, 
-0.5876092528025307,-8.53840567528749e-008, 
-0.5719259194691977,-8.308708373423859e-008, 
-0.5562425861358642,-8.206330200172932e-008, 
