time (min),differential refractive index data: differential refractive index  (RIU),Molar Mass  for Peak 1 : Molar Mass  (g/mol)
-1.661492586135864,-3.074591696244374e-007, 
-1.645703584644244,-3.090231626692279e-007, 
-1.629914583152623,-3.149734548670356e-007, 
-1.614125581661003,-3.153998045105492e-007, 
-1.598336580169382,-3.148561743553106e-007, 
-1.582547578677761,-3.157853165530618e-007, 
-1.566758577186141,-3.167144587508129e-007, 
-1.55096957569452,-3.246217226003863e-007, 
-1.535180574202899,-3.21674504846405e-007, 
-1.519391572711279,-3.195158564370936e-007, 
-1.503602571219658,-3.193978461972823e-007, 
-1.487813569728038,-3.192798359574677e-007, 
-1.472024568236417,-3.179180618496021e-007, 
-1.456235566744796,-3.158765477495348e-007, 
-1.440446565253176,-3.168637000916324e-007, 
-1.424657563761555,-3.178508524337334e-007, 
-1.408868562269935,-3.195595146459098e-007, 
-1.393079560778314,-3.162213936063202e-007, 
-1.377290559286693,-3.166638381918633e-007, 
-1.361501557795073,-3.171062827774064e-007, 
-1.345712556303452,-3.189638269291931e-007, 
-1.329923554811832,-3.18970571254513e-007, 
-1.314134553320211,-3.167330178343669e-007, 
-1.298345551828591,-3.162217308595998e-007, 
-1.28255655033697,-3.181127002845932e-007, 
-1.266767548845349,-3.2000366970959e-007, 
-1.250978547353729,-3.149188346085276e-007, 
-1.235189545862108,-3.140353826089088e-007, 
-1.219400544370487,-3.138702961761612e-007, 
-1.203611542878867,-3.137052097434101e-007, 
-1.187822541387246,-3.123688274400754e-007, 
-1.172033539895626,-3.108392667263862e-007, 
-1.156244538404005,-3.103693664352467e-007, 
-1.140455536912384,-3.104304791909718e-007, 
-1.124666535420764,-3.104915919466935e-007, 
-1.108877533929143,-3.090857808446636e-007, 
-1.093088532437523,-3.089915260748217e-007, 
-1.077299530945902,-3.088972713049764e-007, 
-1.061510529454282,-3.113117119651057e-007, 
-1.045721527962661,-3.057560603521776e-007, 
-1.02993252647104,-3.048287729012412e-007, 
-1.01414352497942,-3.0507150224108e-007, 
-0.998354523487799,-3.053142315809154e-007, 
-0.9825655219961784,-3.058914046594656e-007, 
-0.9667765205045578,-3.031125299504427e-007, 
-0.9509875190129371,-3.021024668463971e-007, 
-0.9351985175213166,-3.026851305871155e-007, 
-0.919409516029696,-3.032677943278339e-007, 
-0.9036205145380754,-2.976393227956016e-007, 
-0.8878315130464547,-2.985847935903017e-007, 
-0.8720425115548341,-2.99530264384995e-007, 
-0.8562535100632136,-3.023445596992791e-007, 
-0.8404645085715929,-3.022537181324087e-007, 
-0.8246755070799723,-2.934665184609593e-007, 
-0.8088865055883517,-2.928460268274282e-007, 
-0.7930975040967312,-2.925545254123573e-007, 
-0.7773085026051105,-2.922630239972898e-007, 
-0.7615195011134899,-2.909839366549229e-007, 
-0.7457304996218693,-2.913064040750531e-007, 
-0.7299414981302488,-2.916288714951866e-007, 
-0.7141524966386281,-2.932129409104545e-007, 
-0.6983634951470075,-2.918159003800687e-007, 
-0.6825744936553869,-2.908044116581665e-007, 
-0.6667854921637664,-2.911415916909928e-007, 
-0.6509964906721457,-2.914787717238225e-007, 
-0.6352074891805251,-2.934334288246088e-007, 
-0.6194184876889044,-2.902951389160826e-007, 
-0.603629486197284,-2.885611632354556e-007, 
-0.5878404847056633,-2.894482755675655e-007, 
-0.5720514832140426,-2.903353878996753e-007, 
-0.5562624817224222,-2.866936993212155e-007, 
-0.5404734802308016,-2.854895395745521e-007, 
-0.5246844787391809,-2.861857896798413e-007, 
-0.5088954772475602,-2.868820397851237e-007, 
-0.4931064757559396,-2.88271195787972e-007, 
-0.4773174742643191,-2.85820257338338e-007, 
-0.4615284727726985,-2.849543589828043e-007, 
-0.4457394712810778,-2.865265223530611e-007, 
-0.4299504697894574,-2.880986857233179e-007, 
-0.4141614682978367,-2.842839204030666e-007, 
-0.3983724668062161,-2.837927667675126e-007, 
-0.3825834653145954,-2.841032598385487e-007, 
-0.3667944638229748,-2.844137529095881e-007, 
-0.3510054623313543,-2.823832895792662e-007, 
-0.3352164608397337,-2.818666848423959e-007, 
-0.319427459348113,-2.823826499274216e-007, 
-0.3036384578564926,-2.828986150124404e-007, 
-0.2878494563648719,-2.860753146938535e-007, 
-0.2720604548732513,-2.803723804661985e-007, 
-0.2562714533816306,-2.794080258985792e-007, 
-0.2404824518900099,-2.792074993381212e-007, 
-0.2246934503983895,-2.790069727776699e-007, 
-0.2089044489067689,-2.758327528168144e-007, 
-0.1931154474151482,-2.738269317020643e-007, 
-0.1773264459235278,-2.744738608989969e-007, 
-0.1615374444319071,-2.75120790095926e-007, 
-0.1457484429402864,-2.762146819251999e-007, 
-0.1299594414486658,-2.731620670881896e-007, 
-0.1141704399570451,-2.718548637502782e-007, 
-0.09838143846542469,-2.724234937252225e-007, 
-0.08259243697380403,-2.729921237001702e-007, 
-0.06680343548218337,-2.681072773115574e-007, 
-0.05101443399056294,-2.68574870261828e-007, 
-0.03522543249894228,-2.69042463212102e-007, 
-0.01943643100732162,-2.713139927939318e-007, 
-0.003647429515700962,-2.737328191317748e-007, 
0.0121415719759197,-2.681669579688241e-007, 
0.02793057346754013,-2.679530651422813e-007, 
0.04371957495916079,-2.677391723157419e-007, 
0.05950857645078145,-2.679324360723094e-007, 
0.07529757794240188,-2.657003290818171e-007, 
0.09108657943402254,-2.649618478506271e-007, 
0.1068755809256432,-2.685447233220569e-007, 
0.1226645824172639,-2.721275987934868e-007, 
0.1384535839088845,-2.722501183064815e-007, 
0.154242585400505,-2.691320096484724e-007, 
0.1700315868921256,-2.679245990942845e-007, 
0.1858205883837463,-2.683319245205448e-007, 
0.2016095898753667,-2.687392499468016e-007, 
0.2173985913669874,-2.647458417993686e-007, 
0.233187592858608,-2.649779749035842e-007, 
0.2489765943502287,-2.652101080077997e-007, 
0.2647655958418493,-2.672458279948005e-007, 
0.2805545973334698,-2.649167347650035e-007, 
0.2963435988250904,-2.640109362653375e-007, 
0.3121326003167111,-2.642339592130999e-007, 
0.3279216018083315,-2.644569821608623e-007, 
0.3437106032999524,-2.648765725894095e-007, 
0.3594996047915728,-2.555496903713121e-007, 
0.3752886062831933,-2.557359362582026e-007, 
0.3910776077748142,-2.559221821450965e-007, 
0.4068666092664346,-2.578755570690712e-007, 
0.4226556107580555,-2.546571393420479e-007, 
0.4384446122496759,-2.544996203436436e-007, 
0.4542336137412963,-2.543421013452358e-007, 
0.4700226152329172,-2.562829437804986e-007, 
0.4858116167245377,-2.535675042989174e-007, 
0.5016006182161581,-2.529485232433378e-007, 
0.517389619707779,-2.52991484306603e-007, 
0.5331786211993994,-2.530344453698615e-007, 
0.5489676226910198,-2.552113731960358e-007, 
0.5647566241826407,-2.531298597388128e-007, 
0.5805456256742612,-2.532633307097962e-007, 
0.596334627165882,-2.533968016807863e-007, 
0.6121236286575025,-2.541677794113676e-007, 
0.6279126301491229,-2.519445713190444e-007, 
0.6437016316407438,-2.484147903233774e-007, 
0.6594906331323642,-2.467062423713851e-007, 
0.6752796346239851,-2.472183870154107e-007, 
0.6910686361156055,-2.47730531659433e-007, 
0.706857637607226,-2.417353811454704e-007, 
0.7226466390988469,-2.417933085595972e-007, 
0.7384356405904673,-2.418512359737241e-007, 
0.7542246420820877,-2.432366106949525e-007, 
0.7700136435737086,-2.402376011951218e-007, 
0.785802645065329,-2.395264617982711e-007, 
0.8015916465569495,-2.40021288468961e-007, 
0.8173806480485704,-2.405161151396475e-007, 
0.8331696495401908,-2.465776975833713e-007, 
0.8489586510318117,-2.42241977789838e-007, 
0.8647476525234321,-2.414679031141049e-007, 
0.8805366540150525,-2.413940613479716e-007, 
0.8963256555066734,-2.413202195818315e-007, 
0.9121146569982939,-2.38458815099327e-007, 
0.9279036584899147,-2.382223468847294e-007, 
0.9436926599815352,-2.379858786701249e-007, 
0.9594816614731556,-2.39887578887553e-007, 
0.9752706629647765,-2.412123164941926e-007, 
0.9910596644563969,-2.387715059183485e-007, 
1.006848665948017,-2.382826878935845e-007, 
1.022637667439638,-2.379125731744825e-007, 
1.038426668931259,-2.375424584553839e-007, 
1.054215670422879,-2.343441402119311e-007, 
1.0700046719145,-2.328649351702734e-007, 
1.08579367340612,-2.335868615993007e-007, 
1.101582674897741,-2.343087880283279e-007, 
1.117371676389362,-2.313023180675847e-007, 
1.133160677880982,-2.296846775352697e-007, 
1.148949679372603,-2.294691492010084e-007, 
1.164738680864224,-2.29253620866754e-007, 
1.180527682355844,-2.296867491763597e-007, 
1.196316683847465,-2.258531547992272e-007, 
1.212105685339085,-2.23897426782729e-007, 
1.227894686830706,-2.255819978096041e-007, 
1.243683688322327,-2.272665688364791e-007, 
1.259472689813947,-2.228335869733724e-007, 
1.275261691305568,-2.209937205172476e-007, 
1.291050692797188,-2.204569867599447e-007, 
1.306839694288809,-2.199202530026418e-007, 
1.32262869578043,-2.188558040359073e-007, 
1.33841769727205,-2.164069009624439e-007, 
1.354206698763671,-2.150821512664181e-007, 
1.369995700255291,-2.175120437894099e-007, 
1.385784701746912,-2.199419363124017e-007, 
1.401573703238533,-2.148537578314688e-007, 
1.417362704730153,-2.134865540895728e-007, 
1.433151706221774,-2.131873304472117e-007, 
1.448940707713394,-2.128881068048507e-007, 
1.464729709205015,-2.151640043489678e-007, 
1.480518710696636,-2.108347693917739e-007, 
1.496307712188256,-2.113058757041277e-007, 
1.512096713679877,-2.117769820164781e-007, 
1.527885715171498,-2.133831996209159e-007, 
1.543674716663118,-2.076346171947931e-007, 
1.559463718154738,-2.067998370741539e-007, 
1.575252719646359,-2.068100051596404e-007, 
1.59104172113798,-2.068201732451268e-007, 
1.606830722629601,-2.023058393555322e-007, 
1.622619724121221,-2.00410646090833e-007, 
1.638408725612842,-2.009217669648582e-007, 
1.654197727104462,-2.014328878388869e-007, 
1.669986728596083,-2.039021320533194e-007, 
1.685775730087704,-1.966374485024399e-007, 
1.701564731579324,-1.961427249415484e-007, 
1.717353733070945,-1.959719881709134e-007, 
1.733142734562565,-1.958012514002818e-007, 
1.748931736054186,-1.928056316166864e-007, 
1.764720737545806,-1.936895786470727e-007, 
1.780509739037427,-1.945735256774555e-007, 
1.796298740529048,-1.978894570570168e-007, 
1.812087742020668,-1.989034117587083e-007, 
1.827876743512289,-1.949705896988375e-007, 
1.843665745003909,-1.931854132499997e-007, 
1.85945474649553,-1.924738512608256e-007, 
1.875243747987151,-1.917622892716548e-007, 
1.891032749478771,-1.896753277686189e-007, 
1.906821750970392,-1.885934320199232e-007, 
1.922610752462012,-1.903973789513047e-007, 
1.938399753953633,-1.922013258826897e-007, 
1.954188755445254,-1.922479639497485e-007, 
1.969977756936874,-1.894727605048138e-007, 
1.985766758428495,-1.885079804139235e-007, 
2.001555759920116,-1.885179076603501e-007, 
2.017344761411736,-1.885278349067733e-007, 
2.033133762903357,-1.865752552930172e-007, 
2.048922764394977,-1.879303836589088e-007, 
2.064711765886598,-1.892855120248003e-007, 
2.080500767378219,-1.926184881755143e-007, 
2.096289768869839,-1.882191238715869e-007, 
2.11207877036146,-1.844099253097987e-007, 
2.12786777185308,-1.83084223187711e-007, 
2.143656773344701,-1.825972822798409e-007, 
2.159445774836322,-1.821103413719708e-007, 
2.175234776327942,-1.803075382728681e-007, 
2.191023777819563,-1.796349380292805e-007, 
2.206812779311183,-1.818343030044801e-007, 
2.222601780802804,-1.840336679796729e-007, 
2.238390782294425,-1.850589505182568e-007, 
2.254179783786045,-1.824652977785268e-007, 
2.269968785277666,-1.817931014383649e-007, 
2.285757786769286,-1.811209050982065e-007, 
2.301546788260907,-1.781293791956511e-007, 
2.317335789752527,-1.752622666806502e-007, 
2.333124791244148,-1.746212433493715e-007, 
2.348913792735769,-1.763038381796693e-007, 
2.364702794227389,-1.779864330099739e-007, 
2.38049179571901,-1.745614571090346e-007, 
2.396280797210631,-1.745842686743103e-007, 
2.412069798702251,-1.746070802395861e-007, 
2.427858800193872,-1.759553372722192e-007, 
2.443647801685493,-1.783481489011272e-007, 
2.459436803177113,-1.757094724669383e-007, 
2.475225804668733,-1.744635747026138e-007, 
2.491014806160354,-1.750914237536765e-007, 
2.506803807651975,-1.757192728047358e-007, 
2.522592809143595,-1.726102444853636e-007, 
2.538381810635216,-1.711019309251692e-007, 
2.554170812126837,-1.726357377739655e-007, 
2.569959813618457,-1.741695446227653e-007, 
2.585748815110078,-1.710267090676584e-007, 
2.601537816601699,-1.705612501129437e-007, 
2.617326818093319,-1.712866658031174e-007, 
2.63311581958494,-1.720120814932844e-007, 
2.64890482107656,-1.729685422907291e-007, 
2.66469382256818,-1.704185237715374e-007, 
2.680482824059801,-1.68981066335537e-007, 
2.696271825551422,-1.695164712145517e-007, 
2.712060827043042,-1.70051876093563e-007, 
2.727849828534663,-1.657937232926469e-007, 
2.743638830026284,-1.655493862857175e-007, 
2.759427831517904,-1.653050492787915e-007, 
