Frame,Path,Line,Mem tot,Mem ant,Mem post,Cyt,Dosage,Ratio tot,Ratio post,Ratio ant,Genotype,Condition,Total
16,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/00",nwg178,18058.216163596513,17067.824110894227,20772.321421988858,1742.058042481132,3151.889522987057,10.366024393697606,11.924012240375074,9.79750599273106,AxA,Uni,4884.187654946925
17,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/01",nwg178,21111.72022599294,19527.221317060583,22233.41419515377,1923.108199291879,3662.8488223078443,10.977915976733204,11.56118735458592,10.153989944117985,AxA,Uni,5596.5475186146505
18,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/02",nwg178,19923.16990833604,20279.31115415298,23564.00407819729,1744.5608556906445,3336.1144777844943,11.420163328408952,13.507126450380355,11.624307107432326,AxA,Uni,5211.192419741115
19,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/03",nwg178,18123.79824634184,17964.760606930544,16214.598053115786,1385.4921105652963,2916.4410662146183,13.081126993171493,11.70313272047435,12.9663391584386,AxA,Uni,4539.033005428776
20,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/04",nwg178,17154.93962352199,15351.799312724863,19557.77625578303,1715.1992092519397,3089.7866364735014,10.00171847735627,11.402626674666484,8.95044682268734,AxA,Uni,4700.158703744766
21,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/05",nwg178,17381.14010744878,19866.07526525236,18680.40025826873,1586.6765086000637,2978.686446656635,10.954432118481597,11.773288478790542,12.520558007618291,AxA,Uni,4610.994887296151
22,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg178_tom4,15,60/06",nwg178,20558.06185027612,24014.483353889987,21545.43691701322,1605.6619711264482,3277.366680422548,12.803480570604574,13.418413903082024,14.956126373873504,AxA,Uni,5182.764733074493
23,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg190_tom4,15,60/00",nwg190,24350.636463177718,1203.6098416558057,61283.72849276683,2894.872097905998,4583.144233349104,8.411645019063785,21.16975341919124,0.41577306386918966,R163A,Pol,7131.882842498921
24,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg190_tom4,15,60/01",nwg190,19256.4745902766,2.385116815047643,50916.564662694116,3155.748189604292,4419.859219744781,6.102031414835803,16.134546105555618,0.0007558007393950909,R163A,Pol,6506.37476831242
25,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg190_tom4,15,60/02",nwg190,20807.65227516869,122.97119588072006,53774.13713672253,3015.912790490049,4428.827034574891,6.899288447855849,17.830136636008262,0.04077412194028951,R163A,Pol,6636.4442863694
26,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg190_tom4,15,60/03",nwg190,21328.497104744034,514.5030725161298,53513.94361199371,2856.8354347537907,4390.798514336565,7.465777288141967,18.73189577565068,0.18009545326172105,R163A,Pol,6567.993930979252
27,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg190_tom4,15,60/04",nwg190,23906.739103448974,667.7033743848627,62246.66055437363,3071.167374717908,4784.900540156713,7.78425145443102,20.2680782124716,0.21741028505364102,R163A,Pol,7230.939978718028
28,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/00",nwg192,16937.625308247,-1498.0503611519691,50113.823668033656,4038.6734285784555,5041.345899295079,4.193858604261735,12.408486240412083,-0.37092634193977336,R183-5A,Pol,6985.820232213433
29,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/01",nwg192,17276.28615363615,-1080.1981408001045,51200.61562394472,3783.7974007802045,4869.39271554844,4.5658591948062135,13.531542575029876,-0.2854799098327442,R183-5A,Pol,6789.871191512894
30,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/02",nwg192,18063.626914514716,-123.43474175018613,49321.82306470456,3637.9708245349116,4772.956304043731,4.965302853088169,13.55750923896153,-0.03392955790566748,R183-5A,Pol,6781.041907660472
31,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/03",nwg192,19109.815614340983,-858.3427174938566,53812.878846426494,4229.233615044827,5403.702912958192,4.518505562416994,12.724026087136856,-0.2029546711348455,R183-5A,Pol,7554.341531940158
32,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/04",nwg192,19666.80353081843,-681.2974059848523,54214.498904080414,3920.0173875334517,5237.750574535695,5.017019463577724,13.830167967237816,-0.17379958776497606,R183-5A,Pol,7342.041201895858
33,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/05",nwg192,17249.15572939468,-1520.3205884276356,48543.14357059725,3632.219717853405,4666.631445921914,4.7489295993329135,13.364594474280763,-0.4185651492818076,R183-5A,Pol,6633.572814768079
34,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg192_tom4,15,60/06",nwg192,17121.23007975193,-211.3266965992486,46122.1449250212,3491.242791873759,4461.165681933799,4.9040502481246575,13.210809924871288,-0.06053050709940142,R183-5A,Pol,6470.336825750595
35,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/00",nwg214,6339.517068323791,-316.3217292351739,15268.373395672408,3479.2472612511033,3660.574624498267,1.8220944337379927,4.388412851744849,-0.09091671430142269,C56S,Pol,4582.323231139443
36,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/01",nwg214,5763.535343157197,-45.080567045605726,14787.866062292467,3145.6041062104055,3297.348487797122,1.8322507056047443,4.70112117195441,-0.014331290754803695,C56S,Pol,4148.459255919757
37,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/02",nwg214,6807.7974821528915,-543.0042071416622,18344.43609023627,3168.3849896320844,3369.727799173547,2.148664857468416,5.789838087942225,-0.17138201604872402,C56S,Pol,4352.941751526688
38,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/03",nwg214,6217.208375846272,-460.0241279583706,16025.208851962956,3214.495883454284,3324.1445999021157,1.934116141771283,4.985294563433173,-0.14310926025017354,C56S,Pol,4296.290140851535
39,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/04",nwg214,7595.279424232481,-399.3076037863358,18459.763836701968,3542.562703584144,3786.6819944512727,2.1440070535796165,5.210850274583858,-0.11271715907310301,C56S,Pol,4864.141323400596
40,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/05",nwg214,6939.45994470896,1148.4299489986754,16650.5399143242,3288.67707459065,3539.169708232432,2.110106826336159,5.062990234879396,0.3492072717846958,C56S,Pol,4496.1431049700095
41,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg214_tom4,15,60/06",nwg214,6424.5479639851355,1245.0686469724487,16322.129218518949,3454.1249839928623,3507.545651965413,1.859963954332236,4.7254020321091765,0.3604584815958766,C56S,Pol,4571.996329726276
42,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/04",nwg217,18893.83290673938,15055.863207930006,22958.7874193636,2497.694105336409,3899.70276612552,7.564510348313694,9.191993275041714,6.027905168916657,R183-5A,Uni,5785.22103110906
43,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/05",nwg217,17802.735147824373,13008.491292695206,23983.26605607808,2373.816057515727,3722.551997442301,7.499627063124467,10.103253779982143,5.479991278814164,R183-5A,Uni,5471.491973237167
44,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/06",nwg217,22099.087718360293,15704.442138682643,29445.543279064474,2519.760659363829,4248.441802147573,8.77031222637618,11.68584927685103,6.2325134255598655,R183-5A,Uni,6365.00192235852
45,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/07",nwg217,16113.75465887571,9457.95292595142,18363.186599543125,2021.5253753260279,3282.41326807002,7.971087009618622,9.083826907976134,4.678621916594077,R183-5A,Uni,4825.318685970401
46,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/08",nwg217,19295.962840798747,15349.67426404852,20835.18059810528,2720.5415454566523,4155.483036128788,7.092691847703378,7.6584680843784065,5.642139260722822,R183-5A,Uni,6078.039079755634
47,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg217_tom4,15,60/09",nwg217,17965.42532489938,14828.384599159104,21716.225998243808,2633.5269458181256,3936.774247237149,6.821811849477121,8.246061819389318,5.630618142223926,R183-5A,Uni,5759.510952350618
48,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/00",nwg218,21053.814046723655,16305.231821668562,27775.09576877658,2080.1162161782736,3753.448265015355,10.121460465995073,13.352665371652558,7.838615792162616,R163A,Uni,5743.479860308189
49,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/01",nwg218,20172.271632486198,16360.38404077552,27923.282932812104,2099.268849323792,3641.696041928668,9.609189236997446,13.30143251628139,7.793372462057664,R163A,Uni,5609.24411337639
50,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/02",nwg218,18685.816882989915,14127.238693823032,25591.98070080895,2042.9331067046335,3471.602803683929,9.14656325342497,12.527077179776219,6.9151743869925655,R163A,Uni,5294.265244344879
51,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/03",nwg218,19556.673910370893,13887.851703198496,27962.557553242983,2036.5896122437196,3568.6556960330568,9.602658185428542,13.730089452060257,6.819170450299111,R163A,Uni,5439.4508726482545
52,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/04",nwg218,14898.518734668816,9493.243599240906,24444.65618201242,1665.4844992116923,2783.149871429312,8.945456257155554,14.677204257129125,5.69998916455497,R163A,Uni,4257.826759044066
53,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/05",nwg218,21971.038448611278,15642.786542500546,33426.155037159275,2331.034456538968,4022.266438337556,9.4254455943277,14.339622884334869,6.710662941347665,R163A,Uni,6153.99514659733
54,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg218_tom4,15,60/06",nwg218,20223.75578257679,15750.232619501088,24400.602733658332,2387.7278365933134,3939.9597375480835,8.469874779125162,10.219172537047543,6.596326590543378,R163A,Uni,5906.661342761675
55,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg222_tom4,15,60/00",nwg222,10275.618360900611,7470.005686321612,10761.513035767988,2433.0916425334394,3058.5756242129846,4.223276337508272,4.422978916060325,3.0701702951655045,C56S,Uni,4221.049237330146
56,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg222_tom4,15,60/01",nwg222,9975.179242290986,9316.056597808914,10078.306196843665,2336.0056223293636,2941.3220674423605,4.270186315880597,4.314333022364053,3.9880283286815663,C56S,Uni,4071.686810487995
57,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg222_tom4,15,60/03",nwg222,7751.862655794819,5854.543796252106,9224.665848589757,1743.7386881629698,2250.5358463184616,4.445541472708513,5.2901652702951445,3.357466251104329,C56S,Uni,3092.562790271268
58,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg222_tom4,15,60/04",nwg222,9951.97420630136,7985.731713593332,10925.651966438225,2269.427051967857,2878.741017999018,4.385236440039719,4.814277664031727,3.518831639320054,C56S,Uni,4001.070563864294
59,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg66_tom4,15,60/01",nwg66,21194.79193530424,10139.102620668189,31057.230018386268,2526.486790203437,4096.1854584596995,8.389037305672039,12.29265481965393,4.013123147915517,AxA,Pol,6214.380586946375
60,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg66_tom4,15,60/02",nwg66,19578.649407678808,8364.988025496128,33066.68471945928,2335.915066290129,3847.144966906182,8.381575892985431,14.155773553862716,3.581032609538025,AxA,Pol,5742.600063226241
61,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg66_tom4,15,60/03",nwg66,19614.124526489704,12146.27213069755,29276.632395698103,2292.6233187057883,3795.5869630038947,8.555319300146566,12.769926990110653,5.297979843262808,AxA,Pol,5705.480986314997
62,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg66_tom4,15,60/04",nwg66,18099.541877370353,5649.607283540993,30514.419586816784,2302.2640317808946,3644.361406072714,7.861627349218336,13.254092130871994,2.45393543292721,AxA,Pol,5451.584318443336
63,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg66_tom4,15,60/05",nwg66,20172.04188318891,13384.897168437521,28714.15643694147,2439.9266528189046,3934.691358978576,8.26747880305487,11.768450663780131,5.485778497879695,AxA,Pol,5949.8619404937745
