,Frame,Position,Membrane signal,Cytoplasmic signal
0,0,0,8861.380683252619,6080.340099759975
1,0,1,8917.999796398359,6080.340099759975
2,0,2,9683.13170423538,6080.340099759975
3,0,3,10412.463486563112,6080.340099759975
4,0,4,10168.283573929546,6080.340099759975
5,0,5,10622.024876808313,6080.340099759975
6,0,6,10659.059374258002,6080.340099759975
7,0,7,9738.44254332042,6080.340099759975
8,0,8,9239.950590517494,6080.340099759975
9,0,9,9730.37811109263,6080.340099759975
10,0,10,8475.808480002308,6080.340099759975
11,0,11,8630.542953275146,6080.340099759975
12,0,12,8206.288529850819,6080.340099759975
13,0,13,8059.61672450993,6080.340099759975
14,0,14,7577.500782775918,6080.340099759975
15,0,15,7437.166386072578,6080.340099759975
16,0,16,6891.27990032579,6080.340099759975
17,0,17,6417.157292531189,6080.340099759975
18,0,18,5789.682590423123,6080.340099759975
19,0,19,5156.11854933904,6080.340099759975
20,0,20,4149.6887407332915,6080.340099759975
21,0,21,3530.7842858207523,6080.340099759975
22,0,22,3862.664363574482,6080.340099759975
23,0,23,3240.8625080679,6080.340099759975
24,0,24,2963.1192630659452,6080.340099759975
25,0,25,2148.1781875941174,6080.340099759975
26,0,26,2494.8729207521865,6080.340099759975
27,0,27,2182.233301977567,6080.340099759975
28,0,28,1886.980851586155,6080.340099759975
29,0,29,1801.6785399684509,6080.340099759975
30,0,30,1470.7832932720344,6080.340099759975
31,0,31,979.6398538728434,6080.340099759975
32,0,32,593.0458998288988,6080.340099759975
33,0,33,437.07729684090606,6080.340099759975
34,0,34,239.5579817633597,6080.340099759975
35,0,35,-198.44163766714553,6080.340099759975
36,0,36,-758.865805084061,6080.340099759975
37,0,37,-692.1198210851059,6080.340099759975
38,0,38,-841.5538737446777,6080.340099759975
39,0,39,-897.6069667038794,6080.340099759975
40,0,40,-1104.1186209794143,6080.340099759975
41,0,41,-1433.412327889106,6080.340099759975
42,0,42,-1180.7598534232884,6080.340099759975
43,0,43,-1510.2176407135603,6080.340099759975
44,0,44,-1459.3840101464534,6080.340099759975
45,0,45,-1569.3774107234674,6080.340099759975
46,0,46,-1514.5333378233731,6080.340099759975
47,0,47,-1307.8406115031098,6080.340099759975
48,0,48,-1399.2139105416363,6080.340099759975
49,0,49,-582.2018217832692,6080.340099759975
50,0,50,-965.550752247876,6080.340099759975
51,0,51,-790.7091249875065,6080.340099759975
52,0,52,-482.28485021124794,6080.340099759975
53,0,53,-120.62607257290519,6080.340099759975
54,0,54,-388.6087032112234,6080.340099759975
55,0,55,-89.60631528324744,6080.340099759975
56,0,56,154.8241581223938,6080.340099759975
57,0,57,364.37775923724985,6080.340099759975
58,0,58,381.7528222492358,6080.340099759975
59,0,59,108.40967111818628,6080.340099759975
60,0,60,216.39889116903345,6080.340099759975
61,0,61,578.1048510195978,6080.340099759975
62,0,62,755.6050056347942,6080.340099759975
63,0,63,682.7047610136649,6080.340099759975
64,0,64,792.6937048612838,6080.340099759975
65,0,65,1283.1222296494946,6080.340099759975
66,0,66,1374.603961995043,6080.340099759975
67,0,67,1244.4050874149316,6080.340099759975
68,0,68,1774.460537525252,6080.340099759975
69,0,69,1752.290702109862,6080.340099759975
70,0,70,2217.25986512559,6080.340099759975
71,0,71,2508.3279891793604,6080.340099759975
72,0,72,2323.6583186436455,6080.340099759975
73,0,73,2408.4538438547825,6080.340099759975
74,0,74,2255.214066391194,6080.340099759975
75,0,75,2443.866010467368,6080.340099759975
76,0,76,2228.2991015915313,6080.340099759975
77,0,77,2619.0993497077666,6080.340099759975
78,0,78,3056.196863485066,6080.340099759975
79,0,79,3116.036586965117,6080.340099759975
80,0,80,3772.616927836994,6080.340099759975
81,0,81,3850.3836571283996,6080.340099759975
82,0,82,3660.6779111887845,6080.340099759975
83,0,83,3670.675544123509,6080.340099759975
84,0,84,5339.665285767977,6080.340099759975
85,0,85,5910.289494371036,6080.340099759975
86,0,86,6388.425001327659,6080.340099759975
87,0,87,6863.006037730655,6080.340099759975
88,0,88,7311.958659396603,6080.340099759975
89,0,89,6949.98589058983,6080.340099759975
90,0,90,7830.868442885824,6080.340099759975
91,0,91,8379.726640453613,6080.340099759975
92,0,92,8017.266314797904,6080.340099759975
93,0,93,8127.310361243706,6080.340099759975
94,0,94,7808.67926114097,6080.340099759975
95,0,95,7888.493365805722,6080.340099759975
96,0,96,8535.592848595199,6080.340099759975
97,0,97,8391.99165406805,6080.340099759975
98,0,98,8829.043962077521,6080.340099759975
99,0,99,8680.216054928536,6080.340099759975
0,1,0,6879.455803003737,5601.16164506205
1,1,1,6043.668391571033,5601.16164506205
2,1,2,7395.947120447735,5601.16164506205
3,1,3,6168.249021463472,5601.16164506205
4,1,4,6085.819032080629,5601.16164506205
5,1,5,6353.800279065603,5601.16164506205
6,1,6,6213.536335819453,5601.16164506205
7,1,7,5870.456513732024,5601.16164506205
8,1,8,6035.148607669289,5601.16164506205
9,1,9,5885.40791167052,5601.16164506205
10,1,10,5873.501270865036,5601.16164506205
11,1,11,5461.573324302641,5601.16164506205
12,1,12,5429.075746872859,5601.16164506205
13,1,13,5383.859099287774,5601.16164506205
14,1,14,5565.779607178432,5601.16164506205
15,1,15,4875.789602271252,5601.16164506205
16,1,16,4350.770175671046,5601.16164506205
17,1,17,4277.188635868184,5601.16164506205
18,1,18,4131.358216320928,5601.16164506205
19,1,19,3766.249425245817,5601.16164506205
20,1,20,3499.3306540193626,5601.16164506205
21,1,21,3531.6944593255657,5601.16164506205
22,1,22,2755.9444850806394,5601.16164506205
23,1,23,2724.77432057384,5601.16164506205
