,Frame,Position,Membrane signal,Cytoplasmic signal
0,0,0,353.95626735890477,443.4605084374419
1,0,1,353.95626735890477,443.4605084374419
2,0,2,353.95626735890477,443.4605084374419
3,0,3,353.95626735890477,443.4605084374419
4,0,4,353.95626735890477,443.4605084374419
5,0,5,353.95626735890477,443.4605084374419
6,0,6,353.95626735890477,443.4605084374419
7,0,7,353.95626735890477,443.4605084374419
8,0,8,353.95626735890477,443.4605084374419
9,0,9,353.95626735890477,443.4605084374419
10,0,10,353.95626735890477,443.4605084374419
11,0,11,353.95626735890477,443.4605084374419
12,0,12,353.95626735890477,443.4605084374419
13,0,13,353.95626735890477,443.4605084374419
14,0,14,353.95626735890477,443.4605084374419
15,0,15,353.95626735890477,443.4605084374419
16,0,16,353.95626735890477,443.4605084374419
17,0,17,353.95626735890477,443.4605084374419
18,0,18,353.95626735890477,443.4605084374419
19,0,19,353.95626735890477,443.4605084374419
0,1,0,2279.064665791203,1134.9545028829984
1,1,1,2279.064665791203,1134.9545028829984
2,1,2,2279.064665791203,1134.9545028829984
3,1,3,2279.064665791203,1134.9545028829984
4,1,4,2279.064665791203,1134.9545028829984
5,1,5,2279.064665791203,1134.9545028829984
6,1,6,2279.064665791203,1134.9545028829984
7,1,7,2279.064665791203,1134.9545028829984
8,1,8,2279.064665791203,1134.9545028829984
9,1,9,2279.064665791203,1134.9545028829984
10,1,10,2279.064665791203,1134.9545028829984
11,1,11,2279.064665791203,1134.9545028829984
12,1,12,2279.064665791203,1134.9545028829984
13,1,13,2279.064665791203,1134.9545028829984
14,1,14,2279.064665791203,1134.9545028829984
15,1,15,2279.064665791203,1134.9545028829984
16,1,16,2279.064665791203,1134.9545028829984
17,1,17,2279.064665791203,1134.9545028829984
18,1,18,2279.064665791203,1134.9545028829984
19,1,19,2279.064665791203,1134.9545028829984
0,2,0,378.1732175133264,508.56859151200456
1,2,1,378.1732175133264,508.56859151200456
2,2,2,378.1732175133264,508.56859151200456
3,2,3,378.1732175133264,508.56859151200456
4,2,4,378.1732175133264,508.56859151200456
5,2,5,378.1732175133264,508.56859151200456
6,2,6,378.1732175133264,508.56859151200456
7,2,7,378.1732175133264,508.56859151200456
8,2,8,378.1732175133264,508.56859151200456
9,2,9,378.1732175133264,508.56859151200456
10,2,10,378.1732175133264,508.56859151200456
11,2,11,378.1732175133264,508.56859151200456
12,2,12,378.1732175133264,508.56859151200456
13,2,13,378.1732175133264,508.56859151200456
14,2,14,378.1732175133264,508.56859151200456
15,2,15,378.1732175133264,508.56859151200456
16,2,16,378.1732175133264,508.56859151200456
17,2,17,378.1732175133264,508.56859151200456
18,2,18,378.1732175133264,508.56859151200456
19,2,19,378.1732175133264,508.56859151200456
0,3,0,226.93265587023635,598.1182006746569
1,3,1,226.93265587023635,598.1182006746569
2,3,2,226.93265587023635,598.1182006746569
3,3,3,226.93265587023635,598.1182006746569
4,3,4,226.93265587023635,598.1182006746569
5,3,5,226.93265587023635,598.1182006746569
6,3,6,226.93265587023635,598.1182006746569
7,3,7,226.93265587023635,598.1182006746569
8,3,8,226.93265587023635,598.1182006746569
9,3,9,226.93265587023635,598.1182006746569
10,3,10,226.93265587023635,598.1182006746569
11,3,11,226.93265587023635,598.1182006746569
12,3,12,226.93265587023635,598.1182006746569
13,3,13,226.93265587023635,598.1182006746569
14,3,14,226.93265587023635,598.1182006746569
15,3,15,226.93265587023635,598.1182006746569
16,3,16,226.93265587023635,598.1182006746569
17,3,17,226.93265587023635,598.1182006746569
18,3,18,226.93265587023635,598.1182006746569
19,3,19,226.93265587023635,598.1182006746569
0,4,0,522.317522160329,574.1907388641816
1,4,1,522.317522160329,574.1907388641816
2,4,2,522.317522160329,574.1907388641816
3,4,3,522.317522160329,574.1907388641816
4,4,4,522.317522160329,574.1907388641816
5,4,5,522.317522160329,574.1907388641816
6,4,6,522.317522160329,574.1907388641816
7,4,7,522.317522160329,574.1907388641816
8,4,8,522.317522160329,574.1907388641816
9,4,9,522.317522160329,574.1907388641816
10,4,10,522.317522160329,574.1907388641816
11,4,11,522.317522160329,574.1907388641816
12,4,12,522.317522160329,574.1907388641816
13,4,13,522.317522160329,574.1907388641816
14,4,14,522.317522160329,574.1907388641816
15,4,15,522.317522160329,574.1907388641816
16,4,16,522.317522160329,574.1907388641816
17,4,17,522.317522160329,574.1907388641816
18,4,18,522.317522160329,574.1907388641816
19,4,19,522.317522160329,574.1907388641816
0,5,0,737.7883120182167,681.1136929572956
1,5,1,737.7883120182167,681.1136929572956
2,5,2,737.7883120182167,681.1136929572956
3,5,3,737.7883120182167,681.1136929572956
4,5,4,737.7883120182167,681.1136929572956
5,5,5,737.7883120182167,681.1136929572956
6,5,6,737.7883120182167,681.1136929572956
7,5,7,737.7883120182167,681.1136929572956
8,5,8,737.7883120182167,681.1136929572956
9,5,9,737.7883120182167,681.1136929572956
10,5,10,737.7883120182167,681.1136929572956
11,5,11,737.7883120182167,681.1136929572956
12,5,12,737.7883120182167,681.1136929572956
13,5,13,737.7883120182167,681.1136929572956
14,5,14,737.7883120182167,681.1136929572956
15,5,15,737.7883120182167,681.1136929572956
16,5,16,737.7883120182167,681.1136929572956
17,5,17,737.7883120182167,681.1136929572956
18,5,18,737.7883120182167,681.1136929572956
19,5,19,737.7883120182167,681.1136929572956
0,6,0,12362.022813307492,3926.9980915644405
1,6,1,12362.022813307492,3926.9980915644405
2,6,2,12362.022813307492,3926.9980915644405
3,6,3,12362.022813307492,3926.9980915644405
4,6,4,12362.022813307492,3926.9980915644405
5,6,5,12362.022813307492,3926.9980915644405
6,6,6,12362.022813307492,3926.9980915644405
7,6,7,12362.022813307492,3926.9980915644405
8,6,8,12362.022813307492,3926.9980915644405
9,6,9,12362.022813307492,3926.9980915644405
