Frame,Path,Line,Genotype,Membrane,Cytoplasm,Ratio,Dosage,Total
82,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg400bal_tom4,15,60/00",nwg400bal,L50R bal,11544.928568408408,1216.3153123457005,9.491723446401137,1446.6147330775298,2171.0243581244267
83,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg400bal_tom4,15,60/01",nwg400bal,L50R bal,15269.718560348843,1461.3925922378132,10.44874501311554,1807.1516649285577,2624.6626755723546
84,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg400bal_tom4,15,60/02",nwg400bal,L50R bal,11439.440638238717,1054.3635128305716,10.84961732745104,1186.1319533738308,1844.0363017443497
85,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg400bal_tom4,15,60/03",nwg400bal,L50R bal,10275.21637852308,1128.3975496444607,9.106025072245709,1245.537160376219,1879.9544434379195
86,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg400bal_tom4,15,60/04",nwg400bal,L50R bal,12314.772719500457,970.0061521327764,12.695561458474943,1258.220392403835,1859.2909681234082
87,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/00",nwg407,C56S + L109R,17150.367391713993,5370.296161041011,3.193560816278978,5511.274703321883,6832.750111736778
88,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/01",nwg407,C56S + L109R,17015.801772310024,4763.2227672798645,3.57232961876088,4641.8044811707705,6000.564834124437
89,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/02",nwg407,C56S + L109R,20472.939503481746,5119.735869812696,3.9988272879848274,5306.621961992336,6637.901712826342
90,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/03",nwg407,C56S + L109R,16846.235426050305,5108.545740501801,3.297657744842965,5135.723596350213,6408.309205603966
91,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/04",nwg407,C56S + L109R,20274.324900394764,5404.7967498240105,3.7511724934068855,5219.07701213588,6814.714104609986
92,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/Experiment/211112_nwg407_tom4,15,60/05",nwg407,C56S + L109R,15807.889461999526,4351.461923604869,3.6327766942526387,4417.225003180984,5535.52722912676
93,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/00",n2,N2,704.9947271353886,19.791043427858536,35.62190794564244,78.20254458117653,51.353254326290795
94,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/01",n2,N2,-611.0460739980421,68.87965625727362,-8.8712125931017,-38.36487087954064,-19.25988402458239
95,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/06",n2,N2,440.10466149690393,-39.65809584301422,-11.097473344132542,-28.858143833189754,-61.59133921327177
96,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/08",n2,N2,190.42220123808926,-88.40010660022558,-2.1540947014831238,-176.65741658565435,-187.11563464945732
97,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/11",n2,N2,150.06587091553166,58.962702687652964,2.5450982413490366,10.18251429212007,8.927567136050754
98,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211106_n2_tom4,15,60/17",n2,N2,-195.46446072910692,107.78185969060517,-1.813519095794045,-2.1544170321300324,21.059379779516064
99,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211112_n2_tom4,15,60/00",n2,N2,566.3366151997355,66.33757497866021,8.537192011946734,73.74287895634507,135.9357935793762
100,"/Users/blandt/Desktop/Data/PAR2 RING mutants experiment 2/N2/211112_n2_tom4,15,60/17",n2,N2,941.582367597843,79.166761456548,11.893657770940223,64.68202020746632,127.74498824956149
