Frame,Path,Condition,Mem tot,Mem ant,Mem post,Cyt,Dosage,Ratio tot,Ratio post
21,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/06",nwg214(unbalanced),5934.058768887615,692.7044388563356,14987.324546251679,3359.9384148779536,3478.3433154481118,1.766121290381795,4.460595015636939
22,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/07",nwg214(unbalanced),5883.811283144611,-429.95879949652,16296.255291594065,3289.3700846171587,3378.890570553517,1.7887349649893263,4.954217638144157
23,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/08",nwg214(unbalanced),3917.691878139411,-2370.7496860587653,13199.654201920299,3027.6064508264612,3121.0216702721073,1.2939898040810351,4.359765516524488
24,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/00",nwg269,11772.571604048722,128.98240058063206,28963.36631998943,1546.2169536760548,2445.8403658032,7.613790274424305,18.731760928587963
25,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/01",nwg269,13492.519240252781,-119.91855119628478,31575.518073873252,1683.1087914826455,2728.5148519245645,8.016427285349309,18.760235959589085
26,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/02",nwg269,11582.71009411757,-226.66609796331036,27704.45365275705,1479.8977774484426,2398.5199806556043,7.826696053350275,18.72051845399993
27,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/03",nwg269,12564.454233901573,176.9294581212089,32395.327258118366,1593.2053438239457,2537.698688146295,7.886274222345306,20.333428696871202
28,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/04",nwg269,12626.196320185112,-161.94815538301566,31430.973449880847,1648.0690736669387,2614.103771284201,7.661205784349766,19.071393275979155
29,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/05",nwg269,9781.438233588724,-239.3223433121595,24836.3883165867,1313.5392009302575,2084.478756854523,7.446628335615292,18.907991705917418
30,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg269_tom4,15,60/06",nwg269,12655.867554788121,-28.67411178608102,28522.3160475527,1457.1984997041632,2444.3990272687242,8.685067653691302,19.573391033097572
31,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/01",nwg274,21444.455898850163,-80.14375473135682,52052.422899143574,1985.3550596358514,3801.052493651306,10.801320295213818,26.21819338888979
32,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/02",nwg274,19251.06404470783,306.27060852632565,48015.166206271955,2087.0364455041718,3648.5190943213843,9.22411493396671,23.00638606944537
33,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/03",nwg274,19412.09481349785,323.7163690274395,48155.2054263471,2137.5291068093175,3714.391933479185,9.08155811851106,22.528444301854776
34,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/04",nwg274,17641.73278200593,208.87387587049133,42775.890902475854,1851.4862635075056,3265.142429766612,9.528416780465308,23.103542135624625
35,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/05",nwg274,17359.611747405444,30.167596128427746,44194.639981477536,2279.197253754624,3567.8062668046796,7.616546448012859,19.390441046150666
36,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/06",nwg274,19325.23287026399,-12.646207775120226,48929.609302364974,2157.214917333779,3691.493165092567,8.958417965210955,22.68184264312421
37,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/07",nwg274,19352.1881073237,511.7626360700641,45201.25829962787,2055.175173641456,3613.725164209986,9.416320494488351,21.993871315377056
38,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg274_tom4,15,60/08",nwg274,19535.67423943944,557.6112036402282,47348.8979632486,2005.1193814028054,3623.6110630789885,9.742898313501936,23.614004434051576
39,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/00",n2,-93.4401258406785,11.750586690545799,-384.0735603774612,5.302266992880873,4.521230119809247,-17.622674596759566,-72.4357262456116
40,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/02",n2,-394.6849139627791,-515.4065101145384,-720.9036176837428,16.8380760565069,-11.186093576724407,-23.440024420738805,-42.813894845495554
41,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/04",n2,-392.2408511055273,-1008.107024242024,185.72410330171397,2.5401108526398914,-18.67358101472241,-154.41879266720917,73.11653470111128
42,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/06",n2,-181.51110767210014,-719.5173376509898,91.3983881485889,45.97309663992058,18.275020590916746,-3.948202773760635,1.9880842237897767
43,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/08",n2,-128.4268032029759,-759.478251565034,433.61000912930297,57.387146214757315,39.781283398028826,-2.2379018939601925,7.555873357190892
44,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/10",n2,-10.312178201390097,-349.80178519673353,-399.34446459093635,-6.556851944679237,12.99340132500937,1.5727331177209571,60.90490801992211
45,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/12",n2,-113.43365017378079,-751.2346079274864,410.5963124763416,19.310992193520836,6.875686800909368,-5.874045674972605,21.26231052043528
46,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/N2/200930_n2_tom4,15,60/14",n2,-299.39919783600067,-838.0825747691457,404.7662577960648,-15.415963830421578,-19.845069356895355,19.42137391663905,-26.256305622442273
