Frame,Path,Line,Condition,Cyt,Mem_tot,Mem_ant,Mem_post,ASI,Dosage,Total
23,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161000xfp_tom4,15,60/01",od58,11161000xfp,796.4763572218119,4588.251092659803,4528.311716974548,4656.086711801996,0.013912178986824357,1112.8775692829063,1594.8320473446176
24,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161000xfp_tom4,15,60/02",od58,11161000xfp,839.6889409398865,4517.704090166225,4557.635327685422,4498.491003484002,-0.006530863422019297,1142.043483782784,1625.7694526288096
25,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161000xfp_tom4,15,60/03",od58,11161000xfp,628.5667820359672,3432.3361077346244,3430.095903841156,3436.7885507977585,0.0009746264118484175,861.1414652089205,1225.7932647817918
26,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161000xfp_tom4,15,60/04",od58,11161000xfp,676.7815111426156,3794.1211154705106,4110.035066472844,3456.9605862293633,-0.08630565024974804,927.090497215675,1336.9585852344844
27,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161900xfp_tom4,15,60/01",od58,11161900xfp,860.107761751728,5547.14643899496,5486.621998306936,5622.3452239054695,0.012217447660404897,1263.123680388813,1825.311242136851
28,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/211117_od58_11161900xfp_tom4,15,60/02",od58,11161900xfp,856.3135533599282,5048.885620788333,4955.91305930324,5149.952252931071,0.019200651070712803,1220.9754137424304,1734.8196513770981
29,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/201111_n2_wt_tom4,15,60,eb,20beads/10",n2,wt,-115.26069784674274,-111.48640213143725,-307.24146551740336,66.2809568147984,-1.5501395823877746,-108.0847094313068,-134.65933181761284
30,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/201111_n2_wt_tom4,15,60,eb,20beads/11",n2,wt,65.93444100230779,196.2051523059016,-274.8822929166771,688.4992867485505,2.3291634387169835,57.15175189278107,100.07413750353467
31,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/201111_n2_wt_tom4,15,60,eb,20beads/12",n2,wt,3.4185452744334257,197.50022155980628,41.19963532689884,347.8985043554299,0.7882301089358308,15.068714831143488,37.78358382583972
32,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/201111_n2_wt_tom4,15,60,eb,20beads/13",n2,wt,-133.0356903341925,-307.3759056203059,-475.5897559392547,-148.89107987690787,-0.5231524449190974,-154.42228678048494,-186.51909791212574
33,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/201111_n2_wt_tom4,15,60,eb,20beads/14",n2,wt,188.13823853540572,401.0911810076843,420.4650423238997,374.4292769263465,-0.05791432179434199,186.18531037903773,257.9281040307428
34,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/210722_n2_tom4,15,60/00",n2,"tom4,15,60",45.0769211667931,-77.66346427363203,83.88093355368858,-237.2556297911793,2.093804070833228,12.327696369442476,31.563478383181128
35,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/210722_n2_tom4,15,60/01",n2,"tom4,15,60",10.52793994424403,195.7234969235043,260.06242463439213,125.03693029450724,-0.3506250857387558,22.735584312097203,44.58382840893378
36,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/N2/210722_n2_tom4,15,60/02",n2,"tom4,15,60",29.075032012941804,-457.6014076680856,-652.3317754107094,-260.2785691095164,-0.42959540033189275,-30.140101210071556,-50.54761292130509
